Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
Hidden Power,Normal,,60,100,15,,Type and power depends on user's IVs.,—
High Horsepower,Ground,,95,95,10,,The user fiercely attacks the target using its entire body.,—
High Jump Kick,Fighting,,130,90,10,,"If it misses, the user loses half their HP.",—
Hold Back,Normal,,40,100,40,,Always leaves opponent with at least 1 HP.,—
Hold Hands,Normal,,—,—,40,,Makes the user and an ally very happy.,—
Hone Claws,Dark,,—,—,15,,Raises user's Attack and Accuracy.,—
Horn Attack,Normal,,65,100,25,,,—
Horn Drill,Normal,,—,30,5,,"One-Hit-KO, if it hits.",—
Horn Leech,Grass,,75,100,10,,User recovers half the HP inflicted on opponent.,—
Howl,Normal,,—,—,40,,Raises Attack of allies.,—
Hurricane,Flying,,110,70,10,,May confuse opponent.,30
Hydro Cannon,Water,,150,90,5,,User must recharge next turn.,—
Hydro Pump,Water,,110,80,5,,,—
Hydro Vortex,Water,—,—,—,1,,Water type Z-Move.,—
Hyper Beam,Normal,,150,90,5,,User must recharge next turn.,—
Hyper Fang,Normal,,80,90,15,,May cause flinching.,10
Hyper Voice,Normal,,90,100,10,,,—
Hyperspace Fury,Dark,,100,∞,5,,Lowers user's Defense. Can strike through Protect/Detect.,100
Hyperspace Hole,Psychic,,80,∞,5,,Can strike through Protect/Detect.,—
Hypnosis,Psychic,,—,60,20,,Puts opponent to sleep.,—
Ice Ball,Ice,,30,90,20,,Doubles in power each turn for 5 turns.,—
Ice Beam,Ice,,90,100,10,,May freeze opponent.,10
Ice Burn,Ice,,140,90,5,,"Charges on first turn, attacks on second. May burn opponent.",30
Ice Fang,Ice,,65,95,15,,May cause flinching and/or freeze opponent.,10
Ice Hammer,Ice,,100,90,10,,"The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.",100
Ice Punch,Ice,,75,100,15,,May freeze opponent.,10
Ice Shard,Ice,,40,100,30,,User attacks first.,—
Icicle Crash,Ice,,85,90,10,,May cause flinching.,30
Icicle Spear,Ice,,25,100,30,,Hits 2-5 times in one turn.,—
Icy Wind,Ice,,55,95,15,,Lowers opponent's Speed.,100
Imprison,Psychic,,—,—,10,,Opponent is unable to use moves that the user also knows.,—
Incinerate,Fire,,60,100,15,,Destroys the target's held berry.,—
Infernal Parade,Ghost,,60,100,15,,Inflicts double damage if the target has a status condition.,—
Inferno,Fire,,100,50,5,,Burns opponent.,100
Inferno Overdrive,Fire,—,—,—,1,,Fire type Z-Move.,—
Infestation,Bug,,20,100,20,,"Traps opponent, damaging them for 4-5 turns.",100
Ingrain,Grass,,—,—,20,,User restores HP each turn. User cannot escape/switch.,—
Instruct,Psychic,,—,—,15,,Allows an ally to use a move instead.,—
Ion Deluge,Electric,,—,—,25,,Changes Normal-type moves to Electric-type.,—
Iron Defense,Steel,,—,—,15,,Sharply raises user's Defense.,—
Iron Head,Steel,,80,100,15,,May cause flinching.,30
Iron Tail,Steel,,100,75,15,,May lower opponent's Defense.,30
Jaw Lock,Dark,,80,100,10,,Prevents user and opponent from switching out.,—
Judgment,Normal,,100,100,10,,Type depends on the Arceus Plate being held.,—
Jump Kick,Fighting,,100,95,10,,"If it misses, the user loses half their HP.",—
Jungle Healing,Grass,,—,—,10,,Restores team's HP and cures status conditions.,—
Karate Chop,Fighting,,50,100,25,,High critical hit ratio.,—
Kinesis,Psychic,,—,80,15,,Lowers opponent's Accuracy.,—
King's Shield,Steel,,—,—,10,,Protects the user and lowers opponent's Attack on contact.,—
Knock Off,Dark,,65,100,20,,Removes opponent's held item for the rest of the battle.,—
Land's Wrath,Ground,,90,100,10,,,—
Laser Focus,Normal,,—,—,30,,User's next attack is guaranteed to result in a critical hit.,—
Lash Out,Dark,,75,100,5,,Double power if stats were lowered during the turn.,—
Last Resort,Normal,,140,100,5,,Can only be used after all other moves are used.,—
Lava Plume,Fire,,80,100,15,,May burn opponent.,30
Leaf Blade,Grass,,90,100,15,,High critical hit ratio.,—
Leaf Storm,Grass,,130,90,5,,Sharply lowers user's Special Attack.,100
Leaf Tornado,Grass,,65,90,10,,May lower opponent's Accuracy.,50
Leafage,Grass,,40,100,40,,Strikes opponent with leaves.,—
Leech Life,Bug,,80,100,10,,User recovers half the HP inflicted on opponent.,—
Leech Seed,Grass,,—,90,10,,Drains HP from opponent each turn.,—
Leer,Normal,,—,100,30,,Lowers opponent's Defense.,100
Let's Snuggle Forever,Fairy,,190,—,1,,Mimikyu-exclusive Z-Move.,—
Lick,Ghost,,30,100,30,,May paralyze opponent.,30
Life Dew,Water,,—,—,10,,User and teammates recover HP.,—
Light of Ruin,Fairy,,140,90,5,,User receives recoil damage.,—
Light Screen,Psychic,,—,—,30,,Halves damage from Special attacks for 5 turns.,—
Light That Burns the Sky,Psychic,,200,—,1,,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,—
Liquidation,Water,,85,100,10,,May lower opponent's Defense.,20
Lock-On,Normal,,—,—,5,,User's next attack is guaranteed to hit.,—
Lovely Kiss,Normal,,—,75,10,,Puts opponent to sleep.,—
Low Kick,Fighting,,—,100,20,,"The heavier the opponent, the stronger the attack.",—
Low Sweep,Fighting,,65,100,20,,Lowers opponent's Speed.,100
Lucky Chant,Normal,,—,—,30,,Opponent cannot land critical hits for 5 turns.,—
Lunar Blessing,Psychic,,—,—,10,,Heals user's status conditions and recovers HP.,—
Lunar Dance,Psychic,,—,—,10,,The user faints but the next Pokémon released is fully healed.,—
Lunge,Bug,,80,100,15,,"The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.",100
Luster Purge,Psychic,,70,100,5,,May lower opponent's Special Defense.,50
Mach Punch,Fighting,,40,100,30,,User attacks first.,—
Magic Coat,Psychic,,—,—,15,,Reflects moves that cause status conditions back to the attacker.,—
Magic Powder,Psychic,,—,100,20,,Changes target's type to Psychic.,—
Magic Room,Psychic,,—,—,10,,Suppresses the effects of held items for five turns.,—
Magical Leaf,Grass,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Magma Storm,Fire,,100,75,5,,"Traps opponent, damaging them for 4-5 turns.",100
Magnet Bomb,Steel,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Magnet Rise,Electric,,—,—,10,,User becomes immune to Ground-type moves for 5 turns.,—
Magnetic Flux,Electric,,—,—,20,,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,—
Magnitude,Ground,,—,100,30,,Hits with random power.,—
Malicious Moonsault,Dark,,180,—,1,,Incineroar-exclusive Z-Move.,—
Mat Block,Fighting,,—,—,10,,Protects teammates from damaging moves.,—
Max Airstream,Flying,—,—,—,—,,Flying type Dynamax move. Raises the team's Speed.,100
Max Darkness,Dark,—,—,—,—,,Dark type Dynamax move. Lowers the target's Special Defense.,100
Max Flare,Fire,—,—,—,—,,Fire type Dynamax move. Summons harsh sunlight.,—
Max Flutterby,Bug,—,—,—,—,,Bug type Dynamax move. Lowers the target's Special Attack.,100
Max Geyser,Water,—,—,—,—,,Water type Dynamax move. Summons heavy rain.,—
Max Guard,Normal,—,—,—,—,,Status category Dynamax move. Protects the user.,—
Max Hailstorm,Ice,—,—,—,—,,Ice type Dynamax move. Summons hail.,—
Max Knuckle,Fighting,—,—,—,—,,Fighting type Dynamax move. Increases the team's Attack.,100
Max Lightning,Electric,—,—,—,—,,Electric type Dynamax move. Summons Electric Terrain.,—
Max Mindstorm,Psychic,—,—,—,—,,Psychic type Dynamax move. Summons Psychic Terrain.,—
Max Ooze,Poison,—,—,—,—,,Poison type Dynamax move. Increases the team's Special Attack.,100
Max Overgrowth,Grass,—,—,—,—,,Grass type Dynamax move. Summons Grassy Terrain.,—
Max Phantasm,Ghost,—,—,—,—,,Ghost type Dynamax move. Lowers the target's Defense.,100
Max Quake,Ground,—,—,—,—,,Ground type Dynamax move. Increases the team's Special Defense.,100
Max Rockfall,Rock,—,—,—,—,,Rock type Dynamax move. Summons a sandstorm.,—
Max Starfall,Fairy,—,—,—,—,,Fairy type Dynamax move. Summons Misty Terrain.,—
Max Steelspike,Steel,—,—,—,—,,Steel type Dynamax move. Raises the team's Defense.,100
Max Strike,Normal,—,—,—,—,,Normal type Dynamax move. Lowers the target's Speed.,100
Max Wyrmwind,Dragon,—,—,—,—,,Dragon type Dynamax move. Lowers the target's Attack.,100
Me First,Normal,,—,—,20,,User copies the opponent's attack with 1.5× power.,—
Mean Look,Normal,,—,—,5,,Opponent cannot flee or switch.,—
Meditate,Psychic,,—,—,40,,Raises user's Attack.,—
Mega Drain,Grass,,40,100,15,,User recovers half the HP inflicted on opponent.,—
Mega Kick,Normal,,120,75,5,,,—
Mega Punch,Normal,,80,85,20,,,—
Megahorn,Bug,,120,85,10,,,—
Memento,Dark,,—,100,10,,"User faints, sharply lowers opponent's Attack and Special Attack.",—
Menacing Moonraze Maelstrom,Ghost,,200,—,1,,Lunala-exclusive Z-Move.,—
Metal Burst,Steel,,—,100,10,,Deals damage equal to 1.5x opponent's attack.,—
Metal Claw,Steel,,50,95,35,,May raise user's Attack.,10
Metal Sound,Steel,,—,85,40,,Sharply lowers opponent's Special Defense.,—
Meteor Assault,Fighting,,150,100,5,,User must recharge next turn.,—
Meteor Beam,Rock,,120,90,10,,"User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.",—
Meteor Mash,Steel,,90,90,10,,May raise user's Attack.,20
Metronome,Normal,,—,—,10,,User performs almost any move in the game at random.,—
Milk Drink,Normal,,—,—,10,,User recovers half its max HP.,—
Mimic,Normal,,—,—,10,,Copies the opponent's last move.,—
Mind Blown,Fire,,150,100,5,,User receives recoil damage.,—
Mind Reader,Normal,,—,—,5,,User's next attack is guaranteed to hit.,—
Minimize,Normal,,—,—,10,,Sharply raises user's Evasiveness.,—
Miracle Eye,Psychic,,—,—,40,,"Resets opponent's Evasiveness, removes Dark's Psychic immunity.",—
Mirror Coat,Psychic,,—,100,20,,"When hit by a Special Attack, user strikes back with 2x power.",—
Mirror Move,Flying,,—,—,20,,User performs the opponent's last move.,—
Mirror Shot,Steel,,65,85,10,,May lower opponent's Accuracy.,30
Mist,Ice,,—,—,30,,User's stats cannot be changed for a period of time.,—
Mist Ball,Psychic,,70,100,5,,May lower opponent's Special Attack.,50
Misty Explosion,Fairy,,100,100,5,,Power increases on Misty Terrain.,—
Misty Terrain,Fairy,,—,—,10,,Protects the field from status conditions for 5 turns.,—
Moonblast,Fairy,,95,100,15,,May lower opponent's Special Attack.,30
Moongeist Beam,Ghost,,100,100,5,,Ignores the target's ability.,—
Moonlight,Fairy,,—,—,5,,User recovers HP. Amount varies with the weather.,—
Morning Sun,Normal,,—,—,5,,User recovers HP. Amount varies with the weather.,—
Mountain Gale,Ice,,100,85,5,,Lowers user's Speed.,—
Mud Bomb,Ground,,65,85,10,,May lower opponent's Accuracy.,30
Mud Shot,Ground,,55,95,15,,Lowers opponent's Speed.,100
Mud Sport,Ground,,—,—,15,,Weakens the power of Electric-type moves.,—
Mud-Slap,Ground,,20,100,10,,Lowers opponent's Accuracy.,100
Muddy Water,Water,,90,85,10,,May lower opponent's Accuracy.,30
Multi-Attack,Normal,,120,100,10,,Type matches Memory item held.,—
Mystical Fire,Fire,,75,100,10,,Lowers opponent's Special Attack.,100
Mystical Power,Psychic,,70,90,10,,Raises user's Attack or Defense.,—
Nasty Plot,Dark,,—,—,20,,Sharply raises user's Special Attack.,—
Natural Gift,Normal,,—,100,15,,Power and type depend on the user's held berry.,—
Nature Power,Normal,,—,—,20,,Uses a certain move based on the current terrain.,—
Nature's Madness,Fairy,,—,90,10,,Halves the foe's HP.,—
Needle Arm,Grass,,60,100,15,,May cause flinching.,30
Never-Ending Nightmare,Ghost,—,—,—,1,,Ghost type Z-Move.,—
Night Daze,Dark,,85,95,10,,May lower opponent's Accuracy.,40
Night Shade,Ghost,,—,100,15,,Inflicts damage equal to user's level.,—
Night Slash,Dark,,70,100,15,,High critical hit ratio.,—
Nightmare,Ghost,,—,100,15,,The sleeping opponent loses 25% of its max HP each turn.,—
No Retreat,Fighting,,—,—,5,,Raises all stats but user cannot switch out.,100
Noble Roar,Normal,,—,100,30,,Lowers opponent's Attack and Special Attack.,100
Nuzzle,Electric,,20,100,20,,Paralyzes opponent.,100
Oblivion Wing,Flying,,80,100,10,,User recovers most of the HP inflicted on opponent.,—
Obstruct,Dark,,—,100,10,,Protects the user and sharply lowers Defence on contact.,—
Oceanic Operetta,Water,,195,—,1,,Primarina-exclusive Z-Move.,—
Octazooka,Water,,65,85,10,,May lower opponent's Accuracy.,50
Octolock,Fighting,,—,100,15,,"Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.",—
Odor Sleuth,Normal,,—,—,40,,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.",—
Ominous Wind,Ghost,,60,100,5,,May raise all user's stats at once.,10
Origin Pulse,Water,,110,85,10,,Hits all adjacent opponents.,—
Outrage,Dragon,,120,100,10,,User attacks for 2-3 turns but then becomes confused.,—
Overdrive,Electric,,80,100,10,,Hits all adjacent opponents.,—
Overheat,Fire,,130,90,5,,Sharply lowers user's Special Attack.,100
Pain Split,Normal,,—,—,20,,The user's and opponent's HP becomes the average of both.,—
Parabolic Charge,Electric,,65,100,20,,User recovers half the HP inflicted on opponent.,—
Parting Shot,Dark,,—,100,20,,Lowers opponent's Attack and Special Attack then switches out.,100
Pay Day,Normal,,40,100,20,,A small amount of money is gained after the battle resolves.,—
Payback,Dark,,50,100,10,,Power doubles if the user was attacked first.,—
Peck,Flying,,35,100,35,,,—
Perish Song,Normal,,—,—,5,,Any Pokémon in play when this attack is used faints in 3 turns.,—
Petal Blizzard,Grass,,90,100,15,,Hits all adjacent Pokémon.,—
Petal Dance,Grass,,120,100,10,,User attacks for 2-3 turns but then becomes confused.,—
Phantom Force,Ghost,,90,100,10,,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",—
Photon Geyser,Psychic,,100,100,5,,"Uses Attack or Special Attack stat, whichever is higher.",—
Pika Papow,Electric,,—,∞,20,,Power increases when player's bond is stronger.,—
Pin Missile,Bug,,25,95,20,,Hits 2-5 times in one turn.,—
Plasma Fists,Electric,,100,100,15,,Changes Normal-type moves to Electric-type moves.,—
Play Nice,Normal,,—,—,20,,Lowers opponent's Attack. Always hits.,100
Play Rough,Fairy,,90,90,10,,May lower opponent's Attack.,10
Pluck,Flying,,60,100,20,,"If the opponent is holding a berry, its effect is stolen by user.",—
Poison Fang,Poison,,50,100,15,,May badly poison opponent.,50
Poison Gas,Poison,,—,90,40,,Poisons opponent.,—
Poison Jab,Poison,,80,100,20,,May poison the opponent.,30
Poison Powder,Poison,,—,75,35,,Poisons opponent.,—
Poison Sting,Poison,,15,100,35,,May poison the opponent.,30
Poison Tail,Poison,,50,100,25,,High critical hit ratio. May poison opponent.,10
Pollen Puff,Bug,,90,100,15,,Deals damage to opponent or restores HP of teammate.,—
Poltergeist,Ghost,,110,90,5,,Fails if the target doesn’t have an item.,—
Pound,Normal,,40,100,35,,,—
Powder,Bug,,—,100,20,,Damages Pokémon using Fire type moves.,—
Powder Snow,Ice,,40,100,25,,May freeze opponent.,10
Power Gem,Rock,,80,100,20,,,—
Power Shift,Normal,,—,—,10,,Switches offensive and defensive stats.,—
Power Split,Psychic,,—,—,10,,Averages Attack and Special Attack with the target.,—
Power Swap,Psychic,,—,—,10,,User and opponent swap Attack and Special Attack.,—
Power Trick,Psychic,,—,—,10,,User's own Attack and Defense switch.,—
Power Trip,Dark,,20,100,10,,"The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.",—
Power Whip,Grass,,120,85,10,,,—
Power-Up Punch,Fighting,,40,100,20,,Raises Attack.,100
Precipice Blades,Ground,,120,85,10,,Hits all adjacent opponents.,—
Present,Normal,,—,90,15,,Either deals damage or heals.,—
Prismatic Laser,Psychic,,160,100,10,,The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.,—
Protect,Normal,,—,—,10,,"Protects the user, but may fail if used consecutively.",—
Psybeam,Psychic,,65,100,20,,May confuse opponent.,10
Psych Up,Normal,,—,—,10,,Copies the opponent's stat changes.,—
Psychic,Psychic,,90,100,10,,May lower opponent's Special Defense.,10
Psychic Fangs,Psychic,,85,100,10,,The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.,—
Psychic Terrain,Psychic,,—,—,10,,Prevents priority moves from being used for 5 turns.,—
Psycho Boost,Psychic,,140,90,5,,Sharply lowers user's Special Attack.,100
Psycho Cut,Psychic,,70,100,20,,High critical hit ratio.,—
Psycho Shift,Psychic,,—,100,10,,Transfers user's status condition to the opponent.,—
Psyshield Bash,Psychic,,70,90,10,,Raises user's Defense and Special Defense.,—
Psyshock,Psychic,,80,100,10,,"Inflicts damage based on the target's Defense, not Special Defense.",—
Psystrike,Psychic,,100,100,10,,"Inflicts damage based on the target's Defense, not Special Defense.",—
Psywave,Psychic,,—,100,15,,Inflicts damage 50-150% of user's level.,—
Pulverizing Pancake,Normal,,210,—,1,,Snorlax-exclusive Normal type Z-Move.,—
Punishment,Dark,,—,100,5,,Power increases when opponent's stats have been raised.,—
Purify,Poison,,—,—,20,,"The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.",—
Pursuit,Dark,,40,100,20,,Double power if the opponent is switching out.,—
Pyro Ball,Fire,,120,90,5,,May burn opponent.,10
Quash,Dark,,—,100,15,,Makes the target act last this turn.,—
Quick Attack,Normal,,40,100,30,,User attacks first.,—
Quick Guard,Fighting,,—,—,15,,Protects the user's team from high-priority moves.,—
Quiver Dance,Bug,,—,—,20,,"Raises user's Special Attack, Special Defense and Speed.",—
Rage,Normal,,20,100,20,,Raises user's Attack when hit.,—
Rage Powder,Bug,,—,—,20,,"Forces attacks to hit user, not team-mates.",—
Raging Fury,Fire,,90,85,10,,User keeps repeating the same move over and over.,—
Rain Dance,Water,,—,—,5,,Makes it rain for 5 turns.,—
Rapid Spin,Normal,,50,100,40,,Raises user's Speed and removes entry hazards and trap move effects.,100
Razor Leaf,Grass,,55,95,25,,High critical hit ratio.,—
Razor Shell,Water,,75,95,10,,May lower opponent's Defense.,50
Razor Wind,Normal,,80,100,10,,"Charges on first turn, attacks on second. High critical hit ratio.",—
Recover,Normal,,—,—,10,,User recovers half its max HP.,—
Recycle,Normal,,—,—,10,,User's used hold item is restored.,—
Reflect,Psychic,,—,—,20,,Halves damage from Physical attacks for 5 turns.,—
Reflect Type,Normal,,—,—,15,,User becomes the target's type.,—
Refresh,Normal,,—,—,20,,"Cures paralysis, poison, and burns.",—
Relic Song,Normal,,75,100,10,,May put the target to sleep.,10
Rest,Psychic,,—,—,10,,"User sleeps for 2 turns, but user is fully healed.",—
Retaliate,Normal,,70,100,5,,Inflicts double damage if a teammate fainted on the last turn.,—
Return,Normal,,—,100,20,,Power increases with higher Friendship.,—
Revelation Dance,Normal,,90,100,15,,Type changes based on Oricorio's form.,—
Revenge,Fighting,,60,100,10,,Power increases if user was hit first.,—
Reversal,Fighting,,—,100,15,,"The lower the user's HP, the higher the power.",—
Rising Voltage,Electric,,70,100,20,,Power doubles on Electric Terrain.,—
Roar,Normal,,—,—,20,,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Roar of Time,Dragon,,150,90,5,,User must recharge next turn.,—
Rock Blast,Rock,,25,90,10,,Hits 2-5 times in one turn.,—
Rock Climb,Normal,,90,85,20,,May confuse opponent.,20
Rock Polish,Rock,,—,—,20,,Sharply raises user's Speed.,—
Rock Slide,Rock,,75,90,10,,May cause flinching.,30
Rock Smash,Fighting,,40,100,15,,May lower opponent's Defense.,50
Rock Throw,Rock,,50,90,15,,,—
Rock Tomb,Rock,,60,95,15,,Lowers opponent's Speed.,100
Rock Wrecker,Rock,,150,90,5,,User must recharge next turn.,—
Role Play,Psychic,,—,—,10,,User copies the opponent's Ability.,—
Rolling Kick,Fighting,,60,85,15,,May cause flinching.,30
Rollout,Rock,,30,90,20,,Doubles in power each turn for 5 turns.,—
Roost,Flying,,—,—,10,,User recovers half of its max HP and loses the Flying type temporarily.,—
Rototiller,Ground,,—,—,10,,Raises Attack and Special Attack of Grass-types.,100
Round,Normal,,60,100,15,,Power increases if teammates use it in the same turn.,—
Sacred Fire,Fire,,100,95,5,,May burn opponent.,50
Sacred Sword,Fighting,,90,100,15,,Ignores opponent's stat changes.,—
Safeguard,Normal,,—,—,25,,The user's party is protected from status conditions.,—
Sand Attack,Ground,,—,100,15,,Lowers opponent's Accuracy.,—
Sand Tomb,Ground,,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",100
Sandsear Storm,Ground,,95,80,5,,May burn target.,—
Sandstorm,Rock,,—,—,10,,Creates a sandstorm for 5 turns.,—
Sappy Seed,Grass,,90,100,15,,Drains HP from opponent each turn.,100
Savage Spin-Out,Bug,—,—,—,1,,Bug type Z-Move.,—
Scald,Water,,80,100,15,,May burn opponent.,30
Scale Shot,Dragon,,25,90,20,,Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense.,—
Scary Face,Normal,,—,100,10,,Sharply lowers opponent's Speed.,—
Scorching Sands,Ground,,70,100,10,,May burn the target.,—
Scratch,Normal,,40,100,35,,,—
Screech,Normal,,—,85,40,,Sharply lowers opponent's Defense.,—
Searing Shot,Fire,,100,100,5,,May burn opponent.,30
Searing Sunraze Smash,Steel,,200,—,1,,Solgaleo-exclusive Z-Move.,—
Secret Power,Normal,,70,100,20,,Effects of the attack vary with the location.,30
Secret Sword,Fighting,,85,100,10,,"Inflicts damage based on the target's Defense, not Special Defense.",—
Seed Bomb,Grass,,80,100,15,,,—
Seed Flare,Grass,,120,85,5,,May lower opponent's Special Defense.,40
Seismic Toss,Fighting,,—,100,20,,Inflicts damage equal to user's level.,—
Self-Destruct,Normal,,200,100,5,,User faints.,—
Shadow Ball,Ghost,,80,100,15,,May lower opponent's Special Defense.,20
Shadow Bone,Ghost,,85,100,10,,May lower opponent's Defense.,20
Shadow Claw,Ghost,,70,100,15,,High critical hit ratio.,—
Shadow Force,Ghost,,120,100,5,,"Disappears on first turn, attacks on second. Can strike through Protect/Detect.",—
Shadow Punch,Ghost,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Shadow Sneak,Ghost,,40,100,30,,User attacks first.,—
Sharpen,Normal,,—,—,30,,Raises user's Attack.,—
Shattered Psyche,Psychic,—,—,—,1,,Psychic type Z-Move.,—
Sheer Cold,Ice,,—,30,5,,"One-Hit-KO, if it hits.",—
Shell Side Arm,Poison,,90,100,10,,"May poison opponent. Inflicts either Special or Physical damage, whichever is better.",—
Shell Smash,Normal,,—,—,15,,"Sharply raises user's Attack, Special Attack and Speed but lowers Defense and Special Defense.",—
Shell Trap,Fire,,150,100,5,,Deals more damage to opponent if hit by a Physical move.,—
Shelter,Steel,,—,—,10,,Raises Defense and Evasion.,—
Shift Gear,Steel,,—,—,10,,Raises user's Attack and sharply raises Speed.,—
Shock Wave,Electric,,60,∞,20,,Ignores Accuracy and Evasiveness.,—
Shore Up,Ground,,—,—,10,,The user regains up to half of its max HP. It restores more HP in a sandstorm.,—
Signal Beam,Bug,,75,100,15,,May confuse opponent.,10
Silver Wind,Bug,,60,100,5,,May raise all stats of user at once.,10
Simple Beam,Normal,,—,100,15,,Changes target's ability to Simple.,—
Sing,Normal,,—,55,15,,Puts opponent to sleep.,—
Sinister Arrow Raid,Ghost,,180,—,1,,Decidueye-exclusive Z-Move.,—
Sizzly Slide,Fire,,90,100,15,,Burns the opponent.,100
Sketch,Normal,,—,—,1,,Permanently copies the opponent's last move.,—
Skill Swap,Psychic,,—,—,10,,The user swaps Abilities with the opponent.,—
Skitter Smack,Bug,,70,90,10,,Lowers opponent's Sp. Attack.,—
Skull Bash,Normal,,130,100,10,,"Raises Defense on first turn, attacks on second.",100
Sky Attack,Flying,,140,90,5,,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio.",30
Sky Drop,Flying,,60,100,10,,"Takes opponent into the air on first turn, drops them on second turn.",—
Sky Uppercut,Fighting,,85,90,15,,"Hits the opponent, even during Fly.",—
Slack Off,Normal,,—,—,10,,User recovers half its max HP.,—
Slam,Normal,,80,75,20,,,—
Slash,Normal,,70,100,20,,High critical hit ratio.,—
Sleep Powder,Grass,,—,75,15,,Puts opponent to sleep.,—
Sleep Talk,Normal,,—,—,10,,User performs one of its own moves while sleeping.,—
Sludge,Poison,,65,100,20,,May poison opponent.,30
Sludge Bomb,Poison,,90,100,10,,May poison opponent.,30
Sludge Wave,Poison,,95,100,10,,May poison opponent.,10
Smack Down,Rock,,50,100,15,,Makes Flying-type Pokémon vulnerable to Ground moves.,100
Smart Strike,Steel,,70,—,10,,The user stabs the target with a sharp horn. This attack never misses.,—
Smelling Salts,Normal,,70,100,10,,"Power doubles if opponent is paralyzed, but cures it.",—
Smog,Poison,,30,70,20,,May poison opponent.,40
Smokescreen,Normal,,—,100,20,,Lowers opponent's Accuracy.,—
Snap Trap,Grass,,35,100,15,,"Traps opponent, damaging them for 4-5 turns.",100
Snarl,Dark,,55,95,15,,Lowers opponent's Special Attack.,100
Snatch,Dark,,—,—,10,,Steals the effects of the opponent's next move.,—
Snipe Shot,Water,,80,100,15,,Ignores moves and abilities that draw in moves. High critical hit ratio.,—
Snore,Normal,,50,100,15,,Can only be used if asleep. May cause flinching.,30
Soak,Water,,—,100,20,,Changes the target's type to water.,—
Soft-Boiled,Normal,,—,—,10,,User recovers half its max HP.,—
Solar Beam,Grass,,120,100,10,,"Charges on first turn, attacks on second.",—
Solar Blade,Grass,,125,100,10,,"Charges on first turn, attacks on second.",—
Sonic Boom,Normal,,—,90,20,,Always inflicts 20 HP.,—
Soul-Stealing 7-Star Strike,Ghost,,195,—,1,,Marshadow-exclusive Z-Move.,—
Spacial Rend,Dragon,,100,95,5,,High critical hit ratio.,—
Spark,Electric,,65,100,20,,May paralyze opponent.,30
Sparkling Aria,Water,,90,100,10,,Heals the burns of its target.,—
Sparkly Swirl,Fairy,,90,100,15,,Cures all status problems in the party Pokémon.,—
Spectral Thief,Ghost,,90,100,10,,"The user hides in the target's shadow, steals the target's stat boosts, and then attacks.",—
Speed Swap,Psychic,,—,—,10,,The user exchanges Speed stats with the target.,—
Spider Web,Bug,,—,—,10,,Opponent cannot escape/switch.,—
Spike Cannon,Normal,,20,100,15,,Hits 2-5 times in one turn.,—
Spikes,Ground,,—,—,20,,Hurts opponents when they switch into battle.,—
Spiky Shield,Grass,,—,—,10,,Protects the user and inflicts damage on contact.,—
Spirit Break,Fairy,,75,100,15,,Lowers opponent's Special Attack.,100
Spirit Shackle,Ghost,,80,100,10,,Prevents the opponent from switching out.,—
Spit Up,Normal,,—,100,10,,Power depends on how many times the user performed Stockpile.,—
Spite,Ghost,,—,100,10,,The opponent's last move loses 2-5 PP.,—
Splash,Normal,,—,—,40,,Doesn't do ANYTHING.,—
Splintered Stormshards,Rock,,190,—,1,,Lycanroc-exclusive Z-Move.,—
Splishy Splash,Water,,90,100,15,,May paralyze opponent.,30
Spore,Grass,,—,100,15,,Puts opponent to sleep.,—
Spotlight,Normal,,—,—,15,,The user shines a spotlight on the target so that only the target will be attacked during the turn.,—
Springtide Storm,Fairy,,95,80,5,,"Boosts user's stats in Incarnate Forme, or lowers opponent's stats in Therian Forme.",—
Stealth Rock,Rock,,—,—,20,,Damages opponent switching into battle.,—
Steam Eruption,Water,,110,95,5,,May burn opponent.,30
Steamroller,Bug,,65,100,20,,May cause flinching.,30
Steel Beam,Steel,,140,95,5,,User loses 50% of its HP.,—
Steel Roller,Steel,,130,100,5,,Fails if no Terrain in effect.,—
Steel Wing,Steel,,70,90,25,,May raise user's Defense.,10
Sticky Web,Bug,,—,—,20,,Lowers opponent's Speed when switching into battle.,—
